trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-100.32983214009317,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-84.71944245406853,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-134.14649881909992,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-121.51969038632035,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-39.28244681346443,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-124.95930782144482,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-134.59454363513066,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,14,-31.617440459548888,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-139.23193167228504,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-121.13674222931662,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-82.85849094945648,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-128.5041019134367,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-90.69072326404041,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",35,0,-229.33818516731566,"{0: 16, 1: 9, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-129.77161972356623,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-82.80452220477483,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-136.74687108502883,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-71.06586179878981,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-117.5384559787263,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-109.29683157674536,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-142.8784207626508,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-116.23770385204487,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-159.20564807760252,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-63.610185579742364,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,4,-110.19139214504135,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 1}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-207.2389020079476,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,1,-175.67743086395475,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 3}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-182.6940903892966,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",30,8,-88.34796811524927,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-116.71149011854563,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-154.5426389103448,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
