trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,8,-83.9245235649015,"{0: 10, 1: 4, 2: 0, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.7247284219689,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.6801332311686,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.29675951679187,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.6114799862433,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.2555273235389,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.61245278331414,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.85709339063109,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.96565524018992,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.83695886206002,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.97170920014955,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.67470521594205,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.75615989806514,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.171171011338124,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.93989771523127,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.09061794791646,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-98.42049920067622,"{0: 25, 1: 7, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,15,-78.63444125618913,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.17705640448258,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-296.4129444957176,"{0: 13, 1: 4, 2: 5, 3: 4, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.3491290536403,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.6663218652073,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-30.652821621537417,"{0: 28, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.95613432481687,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.28997682578527,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.186482740520674,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,5,-227.97435410180563,"{0: 15, 1: 6, 2: 2, 3: 4, 4: 3}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.15341187865945,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.56673191564765,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,5,-188.69179083875235,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",1
